player_a,player_b,team_2324,team_2425,min_2324,min_2425,chem_2324,chem_2425
James Harden,Amir Coffey,LAC,LAC,744.9,973.6,0.74,-6.0
Dalano Banton,Kris Murray,POR,POR,464.5,398.8,-6.04,0.79
T.J. McConnell,Bennedict Mathurin,IND,IND,598.5,682.8,-2.49,4.44
Dillon Brooks,Jabari Smith Jr.,HOU,HOU,1493.3,1036.5,0.21,7.15
Nikola Vučević,Ayo Dosunmu,CHI,CHI,1504.3,934.4,-1.31,-8.29
Georges Niang,Evan Mobley,CLE,CLE,545.1,511.0,3.26,10.26
Jalen Green,Dillon Brooks,HOU,HOU,484.5,1942.1,-3.33,3.69
Jakob Poeltl,RJ Barrett,TOR,TOR,343.0,1023.8,1.72,-5.41
Darius Garland,Sam Merrill,CLE,CLE,323.3,525.0,0.35,7.48
Andrew Nembhard,Bennedict Mathurin,IND,IND,469.0,970.2,4.17,11.38
Kristaps Porziņģis,Jayson Tatum,BOS,BOS,1272.8,815.8,0.51,-6.72
Coby White,Ayo Dosunmu,CHI,CHI,1387.9,813.5,-1.02,-8.3
Christian Braun,Peyton Watson,DEN,DEN,1064.1,916.5,-2.53,4.8
Darius Garland,Isaac Okoro,CLE,CLE,804.7,610.9,2.94,10.29
Duncan Robinson,Jaime Jaquez Jr.,MIA,MIA,957.6,541.4,6.61,-0.77
Kawhi Leonard,Norman Powell,LAC,LAC,929.3,627.9,3.56,10.99
Jalen Green,Fred VanVleet,HOU,HOU,741.0,1520.8,-5.81,1.63
Jabari Walker,Kris Murray,POR,POR,561.7,370.1,0.75,8.21
Damian Lillard,Giannis Antetokounmpo,MIL,MIL,1756.0,1325.7,-0.77,-8.29
Luguentz Dort,Isaiah Joe,OKC,OKC,681.8,648.8,11.82,19.36
Aaron Wiggins,Cason Wallace,OKC,OKC,642.1,625.9,-0.2,7.41
Mikal Bridges,Nick Smith Jr.,CHA,CHA,309.7,732.1,-11.83,-4.22
Jabari Smith Jr.,Amen Thompson,HOU,HOU,714.8,747.2,-1.33,6.3
Ivica Zubac,Amir Coffey,LAC,LAC,372.4,926.7,-4.01,3.62
CJ McCollum,Trey Murphy III,NOP,NOP,1001.1,1186.3,2.79,-4.86
De'Andre Hunter,Onyeka Okongwu,ATL,ATL,336.2,574.1,-8.48,-0.82
Vasilije Micić,Mikal Bridges,CHA,CHA,761.9,319.9,-5.14,2.55
Julian Champagnie,Victor Wembanyama,SAS,SAS,891.7,760.5,-7.98,-0.21
Payton Pritchard,Sam Hauser,BOS,BOS,1062.3,1177.4,13.3,5.52
Brook Lopez,Khris Middleton,MIL,MIL,1148.3,306.7,2.5,-5.35
Royce O'Neale,Grayson Allen,PHX,PHX,437.2,654.6,11.22,3.35
Jordan Clarkson,Lauri Markkanen,UTA,UTA,900.5,484.3,2.07,-5.83
