player_a,player_b,team,season,chemistry,usg_overlap,usg_sum,obpm_diff,dbpm_diff,dbpm_sum,twoway_complement,ast_diff,ts_diff,age_diff,bpm_max,bpm_min,bpm_diff,shared_min
Kentavious Caldwell-Pope,Jamal Murray,DEN,2023-24,10.27,0.147,0.399,6.6,1.1,0.3,13.72,0.206,0.016,4.0,4.1,-1.4,5.5,1232.0
Jaylen Brown,Sam Hauser,BOS,2024-25,10.25,0.142,0.422,0.5,0.3,-0.5,-0.8,0.147,0.077,1.0,0.8,0.0,0.8,547.2
Eric Gordon,Jusuf Nurkić,PHX,2023-24,10.23,0.025,0.349,0.3,2.6,1.6,-2.48,0.086,0.021,6.0,1.1,-1.7,2.8,852.1
Naji Marshall,Jordan Hawkins,NOP,2023-24,10.23,0.03,0.346,0.0,2.2,-1.2,0.72,0.055,0.043,4.0,-0.7,-3.1,2.4,500.3
Pat Connaughton,Malik Beasley,MIL,2023-24,10.2,0.036,0.248,0.6,0.8,-0.8,-0.32,0.064,0.029,4.0,-1.6,-1.8,0.2,600.0
Kris Murray,Toumani Camara,POR,2023-24,10.13,0.002,0.27,0.4,0.2,-0.2,-10.23,0.011,0.066,1.0,-3.1,-3.6,0.5,531.4
Luke Kornet,Sam Hauser,BOS,2024-25,10.11,0.029,0.251,0.7,1.8,1.6,0.1,0.058,0.051,2.0,3.3,0.8,2.5,645.3
Kevon Looney,Buddy Hield,GSW,2024-25,10.04,0.071,0.321,0.3,1.6,1.0,-0.92,0.037,0.025,3.0,0.3,-1.0,1.3,750.5
Jaren Jackson Jr.,Jaylen Wells,MEM,2024-25,10.0,0.118,0.43,2.8,1.8,-0.2,0.16,0.02,0.031,4.0,2.3,-2.2,4.5,1235.8
Naji Marshall,Jose Alvarado,NOP,2023-24,9.92,0.01,0.326,0.2,1.0,2.0,-5.4,0.015,0.036,0.0,-0.1,-0.7,0.6,594.7
Kyrie Irving,Maxi Kleber,DAL,2023-24,9.85,0.178,0.37,7.1,0.9,1.1,15.51,0.126,0.035,0.0,4.9,-1.3,6.2,546.0
Kevin Love,Jaime Jaquez Jr.,MIA,2023-24,9.83,0.029,0.391,4.9,0.7,1.3,4.25,0.052,0.023,12.0,3.6,-1.9,5.5,641.2
Luke Kornet,Payton Pritchard,BOS,2023-24,9.61,0.061,0.275,0.3,2.0,1.6,0.3,0.119,0.139,2.0,3.4,1.0,2.4,726.2
OG Anunoby,Miles McBride,NYK,2024-25,9.57,0.033,0.357,1.1,0.3,0.5,0.48,0.071,0.06,3.0,0.7,0.0,0.7,845.6
Eric Gordon,Grayson Allen,PHX,2023-24,9.55,0.019,0.305,2.4,0.6,-0.4,0.8,0.017,0.099,7.0,1.3,-1.7,3.0,964.9
Derrick White,Luke Kornet,BOS,2024-25,9.46,0.084,0.306,1.1,0.9,2.5,0.19,0.084,0.077,1.0,3.5,3.3,0.2,717.3
Jrue Holiday,Sam Hauser,BOS,2023-24,9.35,0.015,0.307,0.2,1.1,1.1,0.12,0.134,0.032,8.0,2.1,1.2,0.9,709.3
