PLAYER_NAME,TEAM,GP,MP,BPM,OBPM,DBPM,VORP
Jalen Johnson,ATL,36,1284,1.8,0.5,1.4,1.2
Max Strus,CLE,50,1273,1.3,1.1,0.2,1.1
Johnny Juzang,UTA,64,1270,-2.3,-0.9,-1.4,-0.1
Ron Holland,DET,81,1266,-3.0,-3.3,0.3,-0.3
Javonte Green,2TM,68,1258,-2.3,-2.8,0.5,-0.1
Javonte Green,NOP,50,1092,-2.2,-2.5,0.3,0.0
Javonte Green,CLE,18,166,-3.1,-4.4,1.3,0.0
Nick Richards,2TM,57,1256,-3.3,-2.0,-1.3,-0.4
Nick Richards,CHO,21,440,-2.0,-2.3,0.2,0.0
Nick Richards,PHO,36,816,-3.9,-1.9,-2.1,-0.4
Dean Wade,CLE,59,1252,0.3,-1.0,1.2,0.7
Ricky Council IV,PHI,73,1250,-4.3,-2.0,-2.3,-0.7
Tidjane Salaün,CHO,60,1244,-5.2,-4.3,-0.8,-1.0
Bobby Portis,MIL,49,1244,0.2,0.6,-0.4,0.7
Moussa Diabaté,CHO,71,1241,-1.9,-1.4,-0.4,0.0
Jeremiah Robinson-Earl,NOP,66,1239,-2.5,-0.9,-1.6,-0.2
Simone Fontecchio,DET,75,1237,-2.9,-2.2,-0.7,-0.3
Cole Anthony,ORL,67,1234,0.1,-0.8,0.9,0.7
Ben Sheppard,IND,63,1228,-2.0,-2.2,0.2,0.0
Daniel Gafford,DAL,57,1226,3.8,2.7,1.1,1.8
John Collins,UTA,40,1220,1.0,1.4,-0.4,0.9
Caleb Martin,2TM,45,1218,-3.2,-2.9,-0.2,-0.4
Caleb Martin,PHI,31,943,-2.5,-2.3,-0.2,-0.1
Caleb Martin,DAL,14,275,-5.3,-5.0,-0.3,-0.2
Kristaps Porziņģis,BOS,42,1210,4.7,3.5,1.2,2.1
Brandon Clarke,MEM,64,1207,0.8,0.0,0.8,0.9
Deandre Ayton,POR,40,1206,-0.7,-0.3,-0.4,0.4
Jarace Walker,IND,75,1187,-0.9,-1.8,0.8,0.3
Kawhi Leonard,LAC,37,1180,3.1,2.5,0.6,1.5
Clint Capela,ATL,55,1176,-1.0,-0.6,-0.4,0.3
Cody Martin,2TM,53,1173,-1.7,-2.8,1.1,0.1
Cody Martin,CHO,39,967,-1.2,-2.3,1.1,0.2
Cody Martin,PHO,14,206,-4.0,-4.9,0.9,-0.1
Mark Williams,CHO,44,1171,3.5,2.5,0.9,1.6
Precious Achiuwa,NYK,57,1170,-1.9,-2.1,0.2,0.0
Nikola Jović,MIA,46,1156,0.3,-0.3,0.6,0.7
Justin Edwards,PHI,44,1155,-3.7,-2.1,-1.6,-0.5
