PLAYER_NAME,TEAM,AGE,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING,USG_PCT,TS_PCT,AST_PCT,PIE,PACE,POSS,SEASON
"Kevon Looney",GSW,29,76,15,5.6,112.5,106.9,0.125,0.535,0.143,0.114,100.61,2386,2024-25
"Keyonte George",UTA,21,67,31.5,-11.9,110.1,122,0.237,0.539,0.272,0.093,101.25,4454,2024-25
"Khris Middleton",WAS,33,37,22.8,1.5,114.1,112.6,0.208,0.588,0.251,0.114,104.75,1845,2024-25
"Killian Hayes",BKN,23,6,27.1,-5.7,109.9,115.6,0.145,0.559,0.274,0.085,101.72,342,2024-25
"Klay Thompson",DAL,35,72,27.3,-2.4,112.8,115.2,0.214,0.552,0.104,0.083,100.53,4123,2024-25
"Kobe Brown",LAC,25,40,6.8,-8.7,105.9,114.7,0.134,0.513,0.137,0.083,98.21,555,2024-25
"Kobe Bufkin",ATL,21,10,12.4,-8,95.3,103.3,0.203,0.483,0.213,0.086,106.96,275,2024-25
"Kris Dunn",LAC,31,74,24.1,7.8,113.8,106,0.126,0.531,0.153,0.07,99.24,3675,2024-25
"Kris Murray",POR,24,69,15.1,-1.8,106,107.8,0.133,0.472,0.09,0.061,102.7,2221,2024-25
"Kristaps Porziņģis",BOS,29,42,28.8,5.8,116.2,110.3,0.253,0.618,0.113,0.132,99.83,2528,2024-25
"Kyle Anderson",MIA,31,61,16.4,-1.5,106.1,107.6,0.152,0.538,0.211,0.108,100.06,2093,2024-25
"Kyle Filipowski",UTA,21,72,21.1,-11.3,107.7,118.9,0.184,0.594,0.14,0.103,102.46,3248,2024-25
"Kyle Kuzma",MIL,29,65,29.8,-10.3,105.8,116.1,0.233,0.514,0.123,0.08,102.96,4158,2024-25
"Kyle Lowry",PHI,39,35,18.8,-5.8,103.8,109.6,0.1,0.525,0.206,0.067,99.28,1368,2024-25
"Kylor Kelley",LAL,27,11,11.5,-29.1,101.4,130.5,0.097,0.644,0.056,0.072,104.42,276,2024-25
"Kyrie Irving",DAL,33,50,36.1,2.6,116.5,113.9,0.264,0.594,0.198,0.129,99.98,3768,2024-25
"Kyshawn George",WAS,21,68,26.5,-10.1,105.4,115.5,0.156,0.503,0.133,0.058,102.7,3869,2024-25
